timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
3130,0.356421,0.651794,0.330818,0.692384,0.395807,0.735172,0.640547,0.847676,0.742222,0.34614,0.775541,0.329883,0.709694,0.505763,0.29289,0.791029,0.267492,0.840243,0.812988,0.566586,0.731519,0.39374,0.780428,0.279051,0.798778,0.507804,0.437945,0.366876,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.904786,0.183883,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.406627,0.353548,0.494455,0.627438,0.823612,0.369309
3140,0.356421,0.651794,0.330818,0.692384,0.395807,0.735172,0.639947,0.837303,0.742222,0.34614,0.775517,0.329955,0.709694,0.505763,0.29289,0.791029,0.267492,0.840243,0.823011,0.566499,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.430461,0.376377,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.914489,0.187716,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.406159,0.351868,0.499534,0.631778,0.823612,0.369309
3150,0.356421,0.651794,0.330818,0.692384,0.395807,0.735172,0.639039,0.826952,0.742222,0.34614,0.775517,0.329955,0.709694,0.505763,0.29289,0.791029,0.267492,0.840243,0.83041,0.559715,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.91968,0.196758,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.406152,0.351852,0.50609,0.630259,0.823612,0.369309
3160,0.356421,0.651794,0.330837,0.692378,0.395807,0.735172,0.637824,0.816633,0.742222,0.34614,0.775517,0.329955,0.709694,0.505763,0.286146,0.789272,0.267492,0.840243,0.831679,0.55735,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.918083,0.207061,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.406152,0.351852,0.511007,0.625302,0.823612,0.369309
3170,0.356294,0.650846,0.334752,0.693565,0.395807,0.735172,0.636303,0.806355,0.742222,0.34614,0.775517,0.329955,0.709694,0.505763,0.277771,0.79312,0.267492,0.840243,0.831679,0.55735,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.910399,0.214107,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.406152,0.351852,0.514299,0.619062,0.823612,0.369309
3180,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.634477,0.796126,0.742222,0.34614,0.775517,0.329955,0.709694,0.505763,0.274562,0.801761,0.267492,0.840243,0.831679,0.55735,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.900044,0.217038,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.406152,0.351852,0.516277,0.612299,0.823612,0.369309
3190,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.634007,0.785842,0.742222,0.34614,0.775517,0.329955,0.709694,0.505763,0.274565,0.802257,0.267969,0.843439,0.831679,0.55735,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.889926,0.220826,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.406152,0.351852,0.517171,0.605369,0.823612,0.369309
3200,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.633285,0.7755,0.742222,0.34614,0.775517,0.329955,0.703653,0.502749,0.274565,0.802257,0.270999,0.849497,0.834805,0.5504,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.880288,0.225707,0.444188,0.286839,0.745525,0.252975,0.345908,0.823479,0.406152,0.351852,0.517488,0.598268,0.823612,0.369309
3210,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.630512,0.765688,0.742222,0.34614,0.775517,0.329955,0.697802,0.494116,0.275522,0.808323,0.270999,0.849497,0.83476,0.540185,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.871246,0.23162,0.437158,0.294188,0.745525,0.252975,0.345908,0.823479,0.406152,0.351852,0.516714,0.591202,0.823612,0.369309
3220,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.627768,0.755719,0.742222,0.34614,0.775517,0.329955,0.699509,0.484079,0.281754,0.815115,0.270999,0.849497,0.832937,0.535801,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.491462,0.395906,0.39695,0.308004,0.314589,0.729516,0.862911,0.238493,0.427155,0.295471,0.745525,0.252975,0.346111,0.823881,0.406152,0.351852,0.51497,0.584327,0.823612,0.369309
